League,Week,Date,Time,Team,HA,Oppo,Contest,Type,Number,Bet,Return,Net,Site,Notes
GBL,241001,10/05/24,9,BOCHUM,HA,-150 Wolfsburg,GAME,SPREAD,+0.5,0,-1,,, 
GBL,241001,10/05/24,9,WERDER BREMEN,HA,-105 Freiburg,GAME,SPREAD,0,0,-1,,, 
GBL,241001,10/05/24,9,UNION BERLIN,HA,-150 Dortmund,GAME,SPREAD,+0.5,0,-1,,, 
GBL,241001,10/05/24,9,MAINZ,HA,+105 St Pauli,GAME,SPREAD,0,0,-1,,, 
EPL,241001,10/06/24,9,ASTON VILLA,HA,-160 ManU,GAME,SPREAD,0,0,-1,,, 
EPL,241001,10/06/24,9,BRIGHTON,HA,-170 Tottenham,GAME,SPREAD,+0.5,0,-1,,, 
SLL,241001,10/06/24,9,GIRONA,HA,-145 Bilbao,GAME,SPREAD,0,0,-1,,, 
SLL,241001,10/06/24,9,ALAVES,HA,-125 Barcelona,GAME,SPREAD,+1,0,-1,,, 
SLL,241001,10/06/24,9,REAL SOCIEDAD,HA,-160 Atletico Madrid,GAME,SPREAD,+0.5,0,-1,,, 
ISA,241001,10/06/24,9,CAGLIARI,HA,-150 Juventus,GAME,SPREAD,+1.5,0,-1,,, 
ISA,241001,10/06/24,9,PARMA,HA,-170 Bologna,GAME,SPREAD,+1,0,-1,,, 
ISA,241001,10/06/24,9,EMPOLI,HA,-120 Lazio,GAME,SPREAD,+1,0,-1,,, 
ISA,241001,10/06/24,9,MONZA,HA,-120 Roma,GAME,SPREAD,+0.5,0,-1,,, 
ISA,241001,10/06/24,9,FIORENTINA,HA,-155 AC Milan,GAME,SPREAD,+0.5,0,-1,,, 
FL1,241001,10/06/24,9,STRASBOURG,HA,-155 Lens,GAME,SPREAD,+0.5,0,-1,,, 
FL1,241001,10/06/24,9,NICE,HA,-110 PSG,GAME,SPREAD,+0.5,0,-1,,, 
GBL,241001,10/06/24,9,HEIDENHEIM,HA,-125 Leipzig,GAME,SPREAD,+1,0,-1,,, 
GBL,241001,10/06/24,9,FRANKFURT,HA,-160 Bayern Munich,GAME,SPREAD,+1.5,0,-1,,, 
GBL,241001,10/06/24,9,HOFFENHEIM,HA,-160 Stuttgart,GAME,SPREAD,+2,0,-1,,, 
